Year,game_num,heat_top_3_pts,opponent_top_3_pts,heat_pts,opponent_pts,Spread,heat_fg_perc,opponent_fg_pct,heat_3pt_perc,opponent_3pt_perc,heat_ft_perc,opponent_ft_perc,heat_off_reb,opponent_off_reb,heat_def_reb,opponent_def_reb,heat_assists,opponent_assists,heat_blocks,opponent_blocks,heat_steals,opponent_steals,heat_turnovers,opponent_turnovers,heat_pts_paint,opponent_pts_paint,heat_fouls,opponent_fouls,location,heat_rest_days,time,opponent_rest_days,heat_num_injuries,heat_signif_injuries,opponent_num_injuries,opponent_signif_injuries,heat_winning_streak,opponent_winning_streak,opponent,win_rank,pts_rank,reb_rank,ast_rank,plus_minus_rank,opponent_team_rank,opp_mov_avg,heat_win_rank,heat_pts_rank,heat_reb_rank,heat_ast_rank,heat_plus_minus_rank,heat_team_rank,heat_mov_avg,diff_mov,won
2022,4,64,47,110,86,24,43.5,40,31,35.7,81,55,15,11,33,30,22,18,1,3,8,2,6,15,48,26,23,21,0,2,7,2,1,3,2,6,0,1,Hawks,9,15,11,14,13,89.15,87.625,4,5,9,2,3,95.45,95.5125,7.8875,1
2022,5,59,59,97,94,3,45.1,41.9,22.6,32,76.2,85.7,7,12,26,30,19,15,2,2,12,8,14,19,54,28,25,22,1,2,7,2,2,10,1,4,1,0,Hawks,13,15,11,14,15,86.65,87.43,2,6,6,3,1,96.8,95.77,8.34,1
2022,1,59,62,106,92,14,43.5,43,25,17.6,94.4,90,15,9,32,28,21,18,2,6,5,4,11,14,52,46,18,17,1,6,7.5,4,1,3,1,9,2,1,76ers,3,4,6,7,3,96.3,96.3,2,9,8,5,2,95.85,95.85,-0.45,1
2022,2,64,75,119,103,16,51.3,45.2,48.3,26.7,80.6,86.4,8,5,36,29,25,17,3,4,5,10,14,8,42,54,22,25,1,2,7.5,2,1,3,1,9,3,0,76ers,6,9,9,8,4,93.1,94.7,1,8,8,6,2,96.6,96.225,1.525,1
2022,3,56,60,79,99,-20,35.1,47.8,23.3,48.5,75,86.4,11,8,25,35,14,22,1,3,11,7,12,18,28,28,22,24,0,2,7,2,1,1,1,0,4,0,76ers,7,10,10,9,7,92,93.8,1,4,7,6,1,97.55,96.66666667,2.866666667,0
2022,4,76,73,108,116,-8,46.3,54.4,20,48.5,89.3,76.5,5,4,28,28,24,25,5,2,9,5,13,16,48,34,26,24,0,2,8,2,0,0,0,0,0,1,76ers,7,9,9,9,6,92.35,93.4375,2,10,8,6,2,95.6,96.4,2.9625,0
2022,5,57,43,120,85,35,53.6,36.5,39.4,28.1,73.9,93.3,8,10,38,26,26,14,4,2,8,8,11,15,56,36,13,19,1,2,7.5,2,0,0,0,0,0,2,76ers,5,8,11,9,4,93.65,93.48,4,10,9,6,3,94.25,95.97,2.49,1
2022,6,64,55,99,90,9,48.3,41.4,25,32.4,72.7,85.7,13,6,36,29,19,21,6,6,7,8,12,13,62,48,12,16,0,2,7,2,1,2,0,0,1,0,76ers,6,10,13,10,6,92.3,93.28333333,3,9,9,6,1,95.15,95.83333333,2.55,1
2022,1,76,71,118,107,11,48.4,45.6,33.3,32.4,88.2,75,9,8,30,30,18,22,12,8,10,8,12,16,40,48,24,23,1,5,8.5,2,1,2,2,5,2,2,Celtics,1,7,8,4,2,96.9,96.9,1,9,9,6,1,96.35,96.35,-0.55,1
2022,2,57,75,102,127,-25,44.2,51.2,29.4,50,72.2,91.3,12,8,30,33,21,28,3,5,4,8,14,9,42,30,18,21,1,2,8.5,2,1,2,1,0,3,0,Celtics,3,7,8,5,2,95.65,96.275,1,8,9,7,1,96.5,96.425,0.15,0
2022,3,64,76,109,103,6,46.7,48.6,33.3,37.5,85.7,76.7,8,9,26,35,22,21,4,7,19,2,8,23,48,34,24,21,0,2,8.5,2,0,0,1,1,0,1,Celtics,2,5,8,4,2,96.7,96.41666667,2,9,8,8,1,95.75,96.2,-0.216666667,1
2022,4,49,58,82,102,-20,33.3,39.7,38.9,23.5,57.1,84.2,10,14,29,46,22,21,2,11,4,4,9,9,28,38,26,15,0,2,8.5,2,3,6,1,0,1,0,Celtics,3,5,8,5,3,96,96.3125,2,8,9,8,1,95.85,96.1125,-0.2,0
2022,5,46,63,80,93,-13,31.9,46.5,15.6,30.3,92.9,73.9,19,6,30,40,14,24,2,7,7,5,12,15,40,36,19,19,1,2,8.5,2,1,3,1,0,0,1,Celtics,2,7,7,5,1,96.4,96.33,2,9,9,8,3,95.55,96,-0.33,0
2022,6,78,72,111,103,8,46.2,44.4,42.9,33.3,96,90.3,11,6,26,28,25,22,2,4,10,10,17,17,34,38,27,28,0,2,8.5,2,1,3,2,0,0,2,Celtics,2,7,7,5,1,96.4,96.34166667,3,11,9,9,3,94.5,95.75,-0.591666667,1
2022,7,75,74,96,100,-4,42,41.2,20,34.4,66.7,79.2,7,10,37,41,16,22,5,6,4,4,8,13,56,46,18,26,1,2,8.5,2,1,2,1,0,1,0,Celtics,2,8,7,5,1,96.2,96.32142857,2,10,9,9,3,95.3,95.68571429,-0.635714286,0
2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0,2,3,0,2,Pacers,7,23,25,7,13,87.7,87.7,8,15,17,5,8,89.85,89.85,2.15,1
2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,3,1,0,Pacers,11,13,14,8,12,88.4,88.05,1,9,16,8,4,95.4,92.625,4.575,1
2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3.3,2,2,0,2,3,2,0,Pacers,13,13,16,7,12,87.05,87.71666667,1,7,15,5,5,96,93.75,6.033333333,1
